citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,actual_vote
C32,Odyssey,1,0,0,8,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,15,0,0,15,0,4,36-45,1,0,Degree,7,AHR,ACL,Odyssey
C33,Centaur,3,2,0,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,25-35,1,0,Degree,5,ADV,ADV,Centaur
C34,Ebony,0,4,0,2,6,0,2,0,2,2,0,1,0,0,2,0,0,0,0,0,0,15,0,15,15,4,25-35,1,0,Degree,8,AHR,AHR,Cosmos
C35,Tokugawa,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15,0,0,2,46-55,1,1,Masters,8,ANQ,ANQ,Tokugawa
C36,Centaur,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,46-55,0,0,Degree,8,AQX,AQX,Centaur
C37,Ebony,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,2,18-24,1,1,Masters,7,AYS,AHR,Ebony
C38,Ebony,4,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,15,3,0,0,0,4,25-35,1,0,Masters,9,ARW,AUQ,Centaur
C39,Odyssey,0,0,0,8,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,3,18-24,0,0,Degree,7,AQX,AQX,Odyssey
C40,Odyssey,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,15,0,0,15,0,1,55+,1,0,Masters,6,AET,AHJ,Odyssey
C41,Centaur,11,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,18-24,1,0,Masters,0,AWW,AWW,Centaur
C42,Cosmos,0,3,0,0,20,0,3,0,0,14,0,0,0,0,3,0,0,0,0,0,0,15,0,0,15,3,25-35,1,1,Masters,6,AWX,AWX,Cosmos
C43,Ebony,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,25-35,1,1,Masters,6,ABX,ABX,Ebony
C44,Ebony,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,4,18-24,1,0,Degree,5,AML,ABX,Ebony
C45,Cosmos,19,4,0,19,18,5,2,0,14,14,7,0,0,2,2,0,2,0,1,0,0,0,0,15,0,1,18-24,1,0,Diploma,6,ATI,ATI,Cosmos
C46,Ebony,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,1,18-24,1,0,Diploma,6,ACL,ABX,Ebony
C47,Tokugawa,0,4,13,0,1,0,1,3,0,1,0,0,2,0,0,0,1,5,0,0,0,15,15,0,15,3,36-45,1,1,Diploma,4,AEC,ATU,Tokugawa
C48,Ebony,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,2,25-35,0,1,Masters,9,AMF,AMF,Ebony
C49,Cosmos,0,0,0,0,8,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,15,0,0,0,15,3,18-24,1,0,Diploma,6,AXW,ATI,Cosmos
C50,Tokugawa,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,15,11,0,0,4,55+,0,0,Primary,6,ANQ,AEC,Tokugawa
C51,Centaur,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,15,0,0,15,0,3,46-55,1,0,Degree,6,AHS,AQU,Tokugawa
C52,Ebony,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,3,18-24,1,0,Masters,5,ABX,ABX,Ebony
C53,Odyssey,0,0,5,4,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,15,15,0,1,25-35,1,0,Diploma,7,ANG,APH,Tokugawa
C54,Odyssey,0,0,0,16,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,1,55+,1,1,Masters,8,AWI,AWI,Odyssey
C55,Ebony,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,15,0,0,15,1,18-24,1,0,Diploma,6,ACL,AEO,Ebony
C56,Centaur,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25-35,0,0,Primary,6,ARK,ARK,Centaur
C57,Tokugawa,1,2,6,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,15,15,15,0,0,1,36-45,1,0,Degree,7,ASF,ANQ,Tokugawa
C58,Cosmos,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,46-55,0,1,Degree,6,AJI,AJI,Cosmos
C59,Cosmos,0,0,0,0,11,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,3,46-55,1,0,Masters,7,AHR,AHR,Cosmos
C60,Centaur,6,7,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,0,0,0,2,1,0,0,0,3,55+,1,0,Degree,6,APH,ARK,Cosmos
C61,Centaur,9,2,1,0,6,0,1,0,0,2,1,0,0,0,2,2,1,1,0,0,13,0,15,0,12,4,36-45,0,1,Masters,9,ARK,ARK,Centaur
C62,Cosmos,0,2,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,0,0,3,1,18-24,0,0,Degree,10,AHR,AHR,Cosmos
C63,Ebony,1,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,15,15,0,0,0,1,46-55,0,0,Degree,7,AJJ,ACL,Ebony
C64,Odyssey,0,0,0,18,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,1,18-24,0,0,Diploma,7,AHR,AOV,Odyssey
C65,Centaur,4,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,15,0,0,0,15,3,36-45,1,0,Masters,6,ATI,ATI,Cosmos
C66,Cosmos,2,4,0,0,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,15,9,0,0,12,1,25-35,0,0,Degree,8,AOV,AHS,Ebony
C67,Odyssey,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,2,36-45,0,0,Degree,6,ACL,AGD,Odyssey
C68,Ebony,2,4,0,1,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,15,12,0,15,0,1,18-24,1,1,Masters,8,AII,AII,Ebony
C69,Odyssey,0,0,0,7,4,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3,18-24,1,0,Degree,6,AXT,AXT,Odyssey
C70,Odyssey,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,1,25-35,0,0,Masters,9,ACL,ACO,Cosmos
C71,Centaur,5,1,0,2,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,15,7,0,15,15,3,36-45,1,1,Degree,6,AMR,AHO,Centaur
C72,Odyssey,0,1,5,8,0,0,1,0,5,0,0,0,1,1,0,0,0,1,1,0,0,15,15,15,0,4,25-35,1,0,Masters,8,AYE,AEC,Odyssey
C73,Cosmos,0,2,0,1,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,15,15,0,15,15,2,25-35,1,0,Degree,10,AOV,AES,Cosmos
C74,Ebony,0,21,0,0,0,0,6,0,0,0,0,1,0,0,0,0,8,0,0,0,0,14,0,0,0,4,36-45,1,0,Masters,8,ABX,ABX,Ebony
C75,Cosmos,2,2,4,1,5,0,0,0,1,0,1,1,1,0,2,0,0,1,0,0,0,7,15,15,10,2,55+,1,0,Masters,7,AHY,AVG,Tokugawa
C76,Tokugawa,9,1,8,0,1,0,0,4,0,1,0,0,2,0,0,8,1,0,0,0,15,15,15,0,15,3,55+,1,0,Masters,7,AEC,AEC,Centaur
C77,Centaur,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,3,55+,1,1,Primary,5,AYH,AVO,Centaur
C78,Centaur,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15,3,18-24,1,0,Primary,7,ATI,ABT,Odyssey
C79,Ebony,2,20,0,0,2,1,14,0,0,1,0,2,0,0,0,1,2,0,0,1,0,4,0,0,0,3,46-55,1,0,Degree,5,AII,AII,Ebony
C80,Ebony,2,7,10,0,0,0,3,2,0,0,1,1,3,0,0,0,1,0,0,0,10,12,15,0,0,1,25-35,0,0,Diploma,7,AEC,AEC,Tokugawa
C81,Odyssey,0,6,0,6,0,0,2,0,4,0,0,0,0,1,0,0,1,0,0,0,0,15,0,15,0,3,46-55,1,1,Masters,7,ATF,ATF,Odyssey
C82,Odyssey,2,2,0,14,0,0,0,0,1,0,1,1,0,5,0,0,0,0,1,0,15,15,0,15,0,2,18-24,1,1,Masters,8,AUJ,AUJ,Odyssey
C83,Ebony,2,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15,15,15,0,0,4,55+,1,0,Masters,9,ATU,ATU,Ebony
C84,Ebony,0,8,0,15,0,0,3,0,9,0,0,1,0,3,0,0,3,0,0,0,0,15,0,15,0,3,18-24,0,1,Degree,5,AWI,AVV,Ebony
C85,Centaur,6,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15,0,15,0,0,1,55+,1,1,Degree,5,AVO,AFP,Centaur
C86,Centaur,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,1,25-35,0,0,Diploma,4,AAE,ACL,Cosmos
C87,Tokugawa,0,0,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,15,15,0,0,2,46-55,1,0,Masters,8,APH,ATU,Tokugawa
C88,Cosmos,0,0,1,0,6,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,4,25-35,0,1,Masters,7,AUJ,AUJ,Cosmos
C89,Centaur,12,3,0,0,6,1,0,0,0,0,1,1,0,0,2,6,0,0,0,0,15,15,0,0,15,3,36-45,1,1,Masters,6,ATI,ATI,Centaur
C90,Cosmos,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,55+,0,0,Masters,8,ASF,ASF,Ebony
C91,Cosmos,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,15,0,15,0,7,1,46-55,0,0,Masters,7,ASK,AMS,Cosmos
C92,Cosmos,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,55+,1,1,Masters,0,ATI,AMR,Cosmos
C93,Centaur,4,1,1,0,1,1,0,1,0,1,0,0,0,0,0,2,1,0,0,0,15,0,15,0,7,3,46-55,1,0,Masters,4,AEC,AEC,Centaur
C94,Odyssey,0,0,0,10,5,0,0,0,7,3,0,0,0,1,1,0,0,0,0,0,0,0,0,15,15,3,36-45,0,0,Degree,8,AMS,AMS,Odyssey
C95,Tokugawa,0,4,6,0,0,0,3,2,0,0,0,0,1,0,0,0,1,2,0,0,0,15,15,0,0,1,36-45,0,1,Diploma,6,ANQ,ANQ,Tokugawa
C96,Ebony,1,3,0,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,7,15,0,15,15,3,18-24,1,1,Masters,7,AWX,AWX,Cosmos
C97,Odyssey,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,3,25-35,1,0,Degree,7,AUE,AOT,Odyssey
C98,Odyssey,9,0,0,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,1,18-24,1,1,Diploma,4,AUE,AUE,Centaur
C99,Centaur,8,1,0,0,3,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,4,15,0,0,9,2,18-24,0,0,Diploma,8,ABX,AFR,Cosmos
C100,Cosmos,6,0,0,6,21,3,0,0,4,7,0,0,0,1,6,2,0,0,0,0,15,0,0,15,15,1,55+,1,1,Masters,5,AMS,AMS,Cosmos
C101,Ebony,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,15,0,0,0,3,46-55,1,0,Diploma,6,AOV,AOV,Ebony
C102,Odyssey,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,18-24,1,0,Diploma,7,AQX,AQX,Odyssey
C103,Cosmos,0,0,0,3,21,0,0,0,0,16,0,0,0,1,2,0,0,0,0,1,0,0,0,15,3,1,36-45,1,0,Masters,6,AMS,AMS,Cosmos
C104,Centaur,4,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,4,46-55,1,0,Degree,5,AOV,AES,Centaur
C105,Ebony,0,7,0,0,3,0,2,0,0,1,0,1,0,0,1,0,2,0,0,0,0,12,0,0,15,1,46-55,0,0,Degree,8,AAE,AAE,Ebony
C106,Odyssey,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,3,18-24,0,1,Masters,7,AWX,AYE,Ebony
C107,Ebony,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,3,25-35,1,0,Masters,6,AUQ,AUQ,Ebony
C108,Odyssey,2,2,0,17,0,2,0,0,4,0,0,0,0,5,0,0,1,0,1,0,0,0,0,15,0,3,36-45,0,0,Degree,8,AYE,AYE,Odyssey
C109,Ebony,10,4,0,0,1,8,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,15,1,46-55,1,0,Masters,6,APH,AEC,Centaur
C110,Ebony,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,15,0,1,36-45,1,0,Degree,7,ACL,AHR,Ebony
C111,Cosmos,0,1,2,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,15,15,0,15,1,18-24,1,0,Primary,6,ABX,ACX,Cosmos
C112,Ebony,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,3,25-35,0,1,Primary,8,ABX,ABX,Ebony
C113,Centaur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,46-55,1,0,Masters,7,AUD,ACL,Centaur
C114,Cosmos,0,4,0,0,10,0,0,0,0,1,0,1,0,0,3,0,2,0,0,0,0,11,0,0,0,2,18-24,1,1,Degree,8,ADH,AKD,Cosmos
C115,Centaur,18,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,15,0,0,0,0,4,55+,1,0,Masters,0,AHS,AHS,Centaur
C116,Cosmos,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,2,25-35,1,0,Masters,9,AJI,AJI,Cosmos
C117,Centaur,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,46-55,1,1,Masters,10,AHS,AHS,Centaur
C118,Odyssey,0,0,0,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,4,46-55,0,0,Masters,6,AQK,ACL,Centaur
C119,Ebony,0,17,0,0,4,0,12,0,0,0,0,1,0,0,1,0,3,0,0,0,0,15,0,0,15,3,18-24,0,0,Degree,7,AEV,AEV,Ebony
C120,Cosmos,2,0,0,0,6,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4,4,55+,1,1,Diploma,7,ATI,ATI,Cosmos
C121,Cosmos,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,25-35,1,0,Diploma,7,AGT,AMS,Cosmos
C122,Ebony,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,1,25-35,1,0,Masters,8,ACL,ABX,Ebony
C123,Odyssey,1,0,0,7,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,15,15,0,15,0,1,18-24,0,1,Diploma,7,AET,AET,Odyssey
C124,Odyssey,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,1,36-45,1,0,Degree,6,AUE,AJI,Tokugawa
C125,Odyssey,0,0,0,11,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,3,25-35,0,0,Degree,8,AWI,AXR,Odyssey
C126,Cosmos,0,0,0,0,17,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,46-55,1,1,Masters,5,AHR,AHR,Cosmos
C127,Ebony,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,4,25-35,1,0,Masters,7,ALH,ALH,Ebony
C128,Tokugawa,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,15,0,0,3,25-35,1,0,Degree,6,ACL,APH,Tokugawa
C129,Ebony,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0,1,36-45,1,0,Diploma,6,AGD,ACL,Ebony
C130,Cosmos,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,46-55,0,0,Diploma,5,AWX,ACL,Cosmos
C131,Odyssey,0,0,0,7,5,0,0,0,6,3,0,0,0,0,1,0,0,0,1,0,0,0,0,15,15,1,36-45,1,1,Diploma,5,AWI,ATI,Odyssey
C132,Centaur,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,15,4,46-55,1,1,Masters,10,AHS,AHS,Centaur
C133,Ebony,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,7,0,0,3,36-45,0,1,Degree,5,ANQ,APH,Ebony
C134,Cosmos,0,1,0,0,21,0,0,0,0,17,0,0,0,0,2,0,1,0,0,0,0,15,0,0,15,3,25-35,0,1,Degree,6,AWX,AWX,Cosmos
C135,Cosmos,2,0,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0,7,3,25-35,1,0,Masters,7,AEV,APR,Cosmos
C136,Odyssey,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,2,25-35,1,0,Degree,10,AVJ,ATU,Odyssey
C137,Centaur,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,18-24,1,0,Masters,8,AHS,AHS,Centaur
C138,Centaur,11,0,0,8,0,10,0,0,8,0,0,0,0,0,0,1,0,0,0,0,15,0,0,15,0,4,55+,1,0,Diploma,8,AJV,ARK,Centaur
C139,Ebony,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,1,18-24,1,0,Degree,5,AHH,ACL,Ebony
C140,Centaur,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,55+,1,1,Diploma,5,ACL,AOV,Centaur
C141,Cosmos,0,0,0,3,9,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,15,15,2,36-45,0,0,Degree,7,AHR,AHR,Cosmos
C142,Odyssey,1,0,0,6,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,15,0,0,15,0,4,36-45,0,1,Degree,6,AWT,AWT,Ebony
C143,Tokugawa,0,3,8,0,5,0,0,3,0,0,0,1,1,0,2,0,0,1,0,0,0,15,15,0,15,2,36-45,1,0,Masters,8,AOV,AOV,Cosmos
C144,Cosmos,0,0,0,0,16,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,3,25-35,1,1,Masters,7,AMS,AWX,Cosmos
C145,Ebony,0,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,15,3,25-35,0,1,Degree,6,ABX,ABX,Ebony
C146,Centaur,9,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,15,0,15,0,0,4,55+,1,1,Masters,9,AEC,AEC,Tokugawa
C147,Odyssey,5,2,0,10,2,3,2,0,9,2,1,0,0,0,0,0,0,0,1,0,15,15,0,15,15,1,46-55,1,0,Diploma,8,AZG,AZG,Odyssey
C148,Odyssey,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,15,15,0,15,0,4,25-35,1,0,Masters,5,AOT,ABX,Odyssey
C149,Centaur,3,3,3,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,15,15,15,0,0,1,46-55,1,0,Degree,7,AGA,AHD,Tokugawa
C150,Cosmos,0,0,0,0,18,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,46-55,1,1,Degree,6,AMR,AMR,Cosmos
C151,Cosmos,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,18-24,1,0,Primary,8,AMR,AMR,Cosmos
C152,Cosmos,0,2,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,15,0,0,15,4,55+,1,0,Diploma,8,AJI,AJI,Cosmos
C153,Tokugawa,0,0,17,0,0,0,0,7,0,0,0,0,1,0,0,0,0,7,0,0,0,0,15,0,0,1,55+,0,0,Masters,7,APH,AJV,Tokugawa
C154,Ebony,0,5,0,4,0,0,2,0,2,0,0,0,0,1,0,0,2,0,0,0,0,15,0,15,0,1,18-24,1,1,Diploma,7,ACL,AOV,Ebony
